concat,weighted_sum,V
2 0 11,43,246.28798663616183
2 0 12,44,248.65621328353888
2 0 13,45,251.0689496994019
2 0 14,46,253.5183727741242
2 0 15,47,255.97569346427923
2 0 16,48,258.46883654594427
2 1 0,33,224.4909703731537
2 1 1,34,226.52266919612887
2 1 2,35,228.57895493507388
2 1 3,36,230.67919909954077
2 1 4,37,232.77302086353305
2 1 5,38,234.94011163711556
2 1 6,39,237.1410429477692
2 1 7,40,239.3781096
2 1 8,41,241.6429221630097
2 1 9,42,243.9569085836411
2 1 10,43,246.27910554409036
2 1 11,44,248.67209792137152
2 1 12,45,251.0690093040467
2 1 13,46,253.5296082496644
2 1 14,47,255.97536563873297
2 1 15,48,258.4713995456696
2 1 16,49,260.99291443824774
2 2 0,34,226.50824487209323
2 2 1,35,228.5698056221009
2 2 2,36,230.66830635070804
2 2 3,37,232.7814549207688
2 2 4,38,234.9534928798676
2 2 5,39,237.13447153568276
2 2 6,40,239.37642574310308
2 2 7,41,241.6421622037888
2 2 8,42,243.98127198219305
2 2 9,43,246.28561735153204
2 2 10,44,248.6556619405747
2 2 11,45,251.07008218765264
2 2 12,46,253.4934282302857
2 2 13,47,255.98582625389105
2 2 14,48,258.47521424293524
2 2 15,49,260.99365949630743
2 2 16,50,263.5661661624909
2 3 0,35,228.548675775528
2 3 1,36,230.67408800125125
2 3 2,37,232.77470469474795
2 3 3,38,234.95344817638403
2 3 4,39,237.1599525213242
2 3 5,40,239.3818050622941
2 3 6,41,241.65606498718267
2 3 7,42,243.9692616462708
2 3 8,43,246.313750743866
2 3 9,44,248.67154657840732
2 3 10,45,251.07571482658392
2 3 11,46,253.5220384597779
2 3 12,47,255.98686933517465
2 3 13,48,258.4849894046784
2 3 14,49,261.02101802825933
2 3 15,50,263.57257366180426
2 3 16,51,266.1822736263276
2 4 0,36,230.6587398052216
2 4 1,37,232.77784883975983
2 4 2,38,234.9329292774201
2 4 3,39,237.16107010841372
2 4 4,40,239.3773496150971
2 4 5,41,241.65351688861853
2 4 6,42,243.9473271369935
2 4 7,43,246.3402301073075
2 4 8,44,248.69146943092352
2 4 9,45,251.1089146137238
2 4 10,46,253.54003906250009
2 4 11,47,255.9854090213776
2 4 12,48,258.49136710166937
2 4 13,49,261.01830601692205
2 4 14,50,263.5872364
2 4 15,51,266.189068555832
2 4 16,52,268.77343654632574
2 5 0,37,232.78561234474185
2 5 1,38,234.9506914615632
2 5 2,39,237.1615320444108
2 5 3,40,239.4081950187684
2 5 4,41,241.6533232
2 5 5,42,243.9619898796082
2 5 6,43,246.3210523
2 5 7,44,248.6711591482163
2 5 8,45,251.10292434692388
2 5 9,46,253.5226941108704
2 5 10,47,255.99917769432076
2 5 11,48,258.4844827651978
2 5 12,49,261.04614138603216
2 5 13,50,263.5870277881623
2 5 14,51,266.16972684860235
2 5 15,52,268.7825560569764
2 5 16,53,271.43135666847235
2 6 0,38,234.96204614639288
2 6 1,39,237.1382713317872
2 6 2,40,239.37924206256872
2 6 3,41,241.64597690105444
